Réf. Waytex;Description;CodeBarre;Prix Public H.T;Tarif Rev1;REM;Tarif Rev2;Sorecop;Deee
11000;Carte mémoire SDHC 4 Go class4 Team Group;;4,40 €;2,20 €;;2,20 €;;
11001; Carte mémoire SDHC 8 Go class4 Team Group;;5,90 €;2,95 €;;2,95 €;;
11006;Carte mémoire SDHC 4 Go Class10 Team Group;765441411692;4,68 €;5,53 €;;5,53 €;0,32 €;0,02 €
11007;Carte mémoire SDHC 8 Go Class10 Team Group;765441411791;5,01 €;5,82 €;;5,82 €;0,56 €;0,02 €
11013;Carte mémoire microSDHC 32 Go class10 avec adaptateur Team Group;765441003101;12,00 €;6,60 €;;6,60 €;1,92 €;0,02 €
11015;Carte mémoire microSDHC 4 Go Class10 avec adaptateur Team Group;765441008502;3,51 €;2,90 €;;2,90 €;0,32 €;0,02 €
11016;Carte mémoire microSDHC 8 Go Class10 avec adaptateur Team Group;765441001695;3,69 €;3,19 €;;3,19 €;0,56 €;0,02 €
11017;Carte mémoire microSDHC 16 Go Class10 avec adaptateur Team Group;765441001701;6,99 €;3,45 €;;3,45 €;0,96 €;0,02 €
11023;Carte mémoire microSDHC 16 Go UHS-I U3 class10 avec adaptateur Team Group;765441035614;10,88 €;4,60 €;;4,60 €;0,96 €;0,02 €
11024;Carte mémoire microSDHC 32 Go UHS-I U3 class10 avec adaptateur Team Group;765441035621;19,11 €;8,34 €;;8,34 €;1,92 €;0,02 €
11025;Carte mémoire microSDXC 64 Go UHS-I U3 class10 avec adaptateur Team Group;765441035638;33,00 €;18,45 €;;18,45 €;3,84 €;0,02 €
11026;Carte mémoire microSDXC 128 Go UHS-I U3 class10 avec adaptateur Team Group;765441036048;64,00 €;26,30 €;;26,30 €;7,96 €;0,02 €
11108;Clé 32 Go Duo USB 2.0 + Micro USB garantie à vie Team Group;765441013056;14,70 €;4,50 €;;4,50 €;3,20 €;0,02 €
11120;Clé 4 Go USB 2.0 articulée garantie à vie Team Group ;765441444508;3,72 €;3,18 €;;3,18 €;0,64 €;0,02 €
11121;Clé 8 Go USB 2.0 articulée garantie à vie Team Group;765441444607;4,23 €;3,42 €;;3,42 €;1,04 €;0,02 €
11122;Clé 16 Go USB 2.0 articulée garantie à vie Team Group ;765441444706;6,43 €;3,54 €;;3,54 €;1,60 €;0,02 €
11123;Clé 32 Go USB 2.0 articulée garantie à vie Team Group;765441444805;12,11 €;3,96 €;;3,96 €;3,20 €;0,02 €
11124;Clé 64 Go USB 2.0 articulée garantie à vie Team Group;765441006195;25,36 €;6,24 €;;6,24 €;6,40 €;0,02 €
11131;Clé 8 Go Pro USB 3.0 rétractable rouge Team Group;765441016262;5,55 €;3,88 €;;3,88 €;1,04 €;0,02 €
11132;Clé 16 Go Pro USB 3.0 rétractable bleu Team Group;765441016279;7,38 €;4,08 €;;4,08 €;1,60 €;0,02 €
11133;Clé 32 Go Pro USB 3.0 rétractable jaune Team Group;765441016286;12,26 €;4,74 €;;4,74 €;3,20 €;0,02 €
11134;Clé 64 Go Pro USB 3.0 rétractable vert Team Group;765441016293;27,70 €;9,50 €;;9,50 €;6,40 €;0,02 €
11135;Clé 128 Go Pro USB 3.0 rétractable jaune Team Group;765441016491;56,13 €;21,50 €;;21,50 €;12,80 €;0,02 €
11142;Carte mémoire SDHC 16 Go class6 Team Group ;;9,02 €;4,50 €;;4,50 €;;0,02 €
11200;Cordon rétractable Universel Mini USB/Micro USB/iPhone 4 à USB blanc 0.80m blist;3700616804333;6,60 €;2,50 €;10;2,25 €;;0,02 €
11200V;Cordon rétractable Universel Mini USB/Micro USB/iPhone 4 à USB blanc 0.8m sachet;3700616808089;4,60 €;2,00 €;10;1,80 €;;0,02 €
11201;Cordon OTG micro USB mâle vers USB 2.0 Femelle 0.30m ;3700616808287;6,50 €;2,50 €;10;2,25 €;;0,02 €
11202;Cordon micro USB type B mâle vers USB 2.0 mâle 1.00m noir sachet;3700616806528;3,90 €;0,90 €;10;0,81 €;;0,02 €
11203;Cordon micro USB type B mâle vers USB 2.0 mâle 1.00m noir blister Waytex;3700616805835;4,50 €;2,40 €;10;2,16 €;;0,02 €
11204;Cordon pour Apple connecteur lightning  vers USB 2.0 2.00m blanc blister Waytex;3700616804326;9,90 €;5,00 €;10;4,50 €;;0,02 €
11204V;Cordon pour Apple connecteur lightning  vers USB 2.0 2.00m blanc sachet;3700616804494;7,80 €;3,00 €;10;2,70 €;;0,02 €
11205;Cordon pour Apple connecteur lightning  vers USB 2.0 1.00m blanc blister Waytex;3700616804319;7,50 €;4,00 €;10;3,60 €;;0,02 €
11205V;Cordon pour Apple connecteur lightning  vers USB 2.0 1.00m blanc sachet;3700616804517;5,50 €;2,60 €;10;2,34 €;;0,02 €
11206;Cordon rétractable Universel Mini USB/Micro USB/iPhone 4 à USB noir 0.8m blister;5410329464943;6,60 €;2,50 €;10;2,25 €;;0,02 €
11207;Cordon rétractable Universel Mini USB à USB noir 0.80m sachet;3700616808096;4,90 €;1,20 €;10;1,08 €;;0,02 €
11208;Cordon pour iPhone 3 à 4S vers USB 2.0 1.00m blanc blister Waytex;3700616804081;5,00 €;3,60 €;10;3,24 €;;0,02 €
11209;Cordon pour iPhone 3 à 4S vers USB 2.0 2.00m blanc blister Waytex;3700616804074;7,30 €;3,80 €;10;3,42 €;;0,02 €
11210;Cordon mini USB 5 pin mâle vers USB 2.0 mâle 2.00m noir;6934808890287;4,00 €;1,20 €;10;1,08 €;;0,02 €
11211;Cordon pour iPhone 3 à 4S vers USB 2.0 2.00m blanc sachet;3700616801684;5,50 €;2,00 €;10;1,80 €;;0,02 €
11212;Cordon micro USB type B mâle vers USB 2.0 mâle 1.80m noir sachet;3700616802469;4,60 €;1,30 €;10;1,17 €;;0,02 €
11215;Cordon audio/vidéo pour iPhone / iPod / iPad 1.50m blanc;3700616801691;12,50 €;6,50 €;10;5,85 €;;0,02 €
11216;Cordon rétractable USB/Apple dock 30 points 0.80m blanc Waytex;3700616802247;5,00 €;1,20 €;10;1,08 €;;0,02 €
11217;Cordon rétractable USB/Apple dock 30 points 0.80m noir Waytex;3700616802254;5,00 €;1,20 €;10;1,08 €;;0,02 €
11218;Cordon USB 2.0 A/B mâle-mâle 1.80m beige;3700616800762;1,47 €;0,45 €;5;0,43 €;;0,02 €
11219;Cordon USB 2.0 A/B mâle-mâle 0.60m beige;3700616805552;0,80 €;0,37 €;5;0,35 €;;0,02 €
11230;Cordon USB 2.0 A/B mâle-mâle 3.00m beige;3700616800779;2,00 €;0,59 €;5;0,56 €;;0,02 €
11250;Cordon USB 2.0 A/B mâle-mâle 5.00m beige;3700616800786;2,90 €;0,85 €;5;0,81 €;;0,02 €
11270;Adaptateur micro USB vers USB + Lecteur de cartes pour GSM, tablettes... 0.15 cm;3540493092153;12,50 €;6,00 €;5;5,70 €;;0,02 €
11292;Cordon USB 2.0 A/B mâle-mâle high speed 1.80m noir ;6934808830317;3,30 €;0,60 €;5;0,57 €;;0,02 €
11293;Cordon USB 2.0 A/B mâle-mâle high speed 3.00m noir ;6934808890324;4,10 €;0,80 €;5;0,76 €;;0,02 €
11295;Cordon USB 2.0 A/B mâle-mâle high speed 5.00m noir ;6934808890331;5,77 €;1,00 €;5;0,95 €;;0,02 €
11296;Cordon USB 2.0 A/B mâle-mâle 1.80m beige blister Waytex;3700616802957;3,76 €;1,50 €;15;1,28 €;;0,02 €
11297;Cordon USB 2.0 A/B mâle-mâle 3.00m beige blister Waytex;3700616802940;4,59 €;1,90 €;15;1,62 €;;0,02 €
11298;Cordon USB 2.0 A/B mâle-mâle 5.00m beige blister Waytex;3700616802933;6,27 €;2,30 €;15;1,96 €;;0,02 €
11300;Cordon mini USB 5 pin mâle vers USB 2.0 mâle 2.00m noir blister;3700616802926;4,59 €;2,00 €;15;1,70 €;;0,02 €
11301;Cordon micro USB type B mâle vers USB 2.0 mâle 2.00m noir blister;3700616802919;5,00 €;3,00 €;10;2,70 €;;0,02 €
11306;Rallonge USB 2.0 A/A mâle-femelle 0.60m beige;3700616802322;1,10 €;0,42 €;5;0,40 €;;0,02 €
11318;Rallonge USB 2.0 A/A mâle-femelle 1.80m beige;3700616800793;1,65 €;0,50 €;5;0,48 €;;0,02 €
11330;Rallonge USB 2.0 A/A mâle-femelle 3.00m beige;3700616800809;2,00 €;0,70 €;5;0,67 €;;0,02 €
11350;Rallonge USB 2.0 A/A mâle-femelle 5.00m beige ;3700616800816;2,90 €;0,90 €;5;0,86 €;;0,02 €
11392;Rallonge USB 2.0 A/A mâle-femelle high speed 1.80m noir ;6934808890294;4,14 €;0,70 €;5;0,67 €;;0,02 €
11393;Rallonge USB 2.0 A/A mâle-femelle high speed 3.00 noir ;6934808890300;4,93 €;0,90 €;5;0,86 €;;0,02 €
11396;Rallonge USB 2.0 A/A mâle-femelle 1.80m beige blister;3700616802896;4,59 €;1,80 €;15;1,53 €;;0,02 €
11398;Adaptateur USB 2.0 A mâle / RS232 (série) DB9M monobloc + rallonge 0.30m;3700616802858;14,90 €;8,00 €;10;7,20 €;;0,02 €
11400;Adaptateur USB A M / 2 x PS/2 (mini-DIN 6) F sachet;3700616800007;3,30 €;2,00 €;10;1,80 €;;0,02 €
11401;Mini dongle USB Bluetooth V2.0+Edr 3 Mbps 100.00 m ;3700616800014;4,50 €;2,60 €;10;2,34 €;;0,02 €
11403;Adaptateur USB A M / 2 x PS/2 (mini-DIN 6) F blister;6934808800248;6,02 €;3,60 €;10;3,24 €;;0,02 €
11404;Cordon USB / Centro 36 mâle pour imprimante parallèle IEEE1284 1.20m;6934808801559;15,80 €;8,00 €;10;7,20 €;;0,02 €
11406;Carte son externe 3D virtuel sur port USB;3700616801707;7,52 €;3,20 €;10;2,88 €;;0,02 €
11407;Adaptateur USB A M / PS/2 (mini-DIN 6) F;3700616801714;3,00 €;1,20 €;10;1,08 €;;0,02 €
11409;Adaptateur USB A F / PS/2 (mini-DIN 6) M;3700616808119;3,00 €;1,20 €;10;1,08 €;;0,02 €
11413;Adaptateur réseau USB 2.0 vers RJ45 10/100 win 64 Bits monobloc;3700616807655;14,00 €;6,90 €;10;6,21 €;;0,02 €
11419;Mini dongle USB Bluetooth 4.0 CRS compatible 2.0 / 3.0 ;3700616811997;16,50 €;7,90 €;10;7,11 €;;0,02 €
11420;Adaptateur USB 2.0 A mâle / 2 ports RS232 (série) DB9M ;3700616808379;30,00 €;22,50 €;;22,50 €;;0,02 €
11421;Adaptateur USB 2.0 A mâle / 4 ports RS232 (série) DB9M ;3700616808386;57,00 €;43,00 €;;43,00 €;;0,02 €
11602;Cordon USB 3.0 A/B mâle-mâle high speed 2.00m;3700616801332;7,40 €;3,50 €;10;3,15 €;;0,02 €
11622;Cordon USB 3.0 A/micro B mâle-mâle high speed 2.00m;3700616801356;9,50 €;4,50 €;10;4,05 €;;0,02 €
11650;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 1.00m;3700616815759;8,00 €;2,80 €;10;2,52 €;;0,02 €
11651;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 2.00m;3700616816787;10,00 €;3,30 €;10;2,97 €;;0,02 €
11652;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 1.00m blister Waytex;3700616817418;9,60 €;4,80 €;10;4,32 €;;0,02 €
11654;Cordon USB 3.1 type C / USB 2.0 A mâle-mâle 1.00m blanc pour charge;3700616817319;10,00 €;1,90 €;10;1,71 €;;0,02 €
11655;Adaptateur USB 3.1 Type C mâle / USB 3.0 femelle;3700616815773;6,00 €;1,50 €;10;1,35 €;;0,02 €
11656;Adaptateur USB 3.1 Type C mâle / HDMI femelle 0.15m;3700616817432;30,00 €;14,00 €;10;12,60 €;;0,02 €
11657;Adaptateur USB 3.1 Type C mâle à HDMI / VGA / DVI / USB 3.0 femelle 0.15m;3700616817234;58,00 €;29,00 €;10;26,10 €;;0,02 €
11658;Adaptateur USB 3.1 Type C male à RJ45 Gigabit 10/100/1000Mbps + 3 USB;3700616817289;28,00 €;14,00 €;10;12,60 €;;0,02 €
11659;Adaptateur USB 3.0 Male à USB 3.1 Type C avec OTG;3700616817296;5,60 €;2,80 €;10;2,52 €;;0,02 €
11660;Cordon USB 3.1 type C / USB2.0 A mâle-mâle 1.00m noir pour charge;3700616817326;10,00 €;1,90 €;10;1,71 €;;0,02 €
11661;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 3.00m;3700616818767;10,00 €;3,90 €;10;3,51 €;;0,02 €
12001;Rallonge amplifiée USB 2.0 A/A M/F 5.00m cascadable;6934808801436;15,00 €;10,00 €;10;9,00 €;;0,02 €
12005;Cordon amplifié USB 2.0 A/B 10.00m;6934808803270;20,05 €;12,00 €;10;10,80 €;;0,02 €
