ProductId;ReferenceNo;EAN;Manufacturer;Price_B2B_Regular;Price_B2B_Discounted;Price_B2B_DiscountPercent;Price_B2B_DiscountAmount;Price_B2C_exclVAT;Price_B2C_inclVAT;Price_B2C_VATRate;Price_B2C_VATCountry;Price_B2X_Currency;Stock;StockNextDelivery;StockNextDeliveryAccessVolume;WarrantyCode;EOL;Promotion;NonReturnable;RemainingStock;ImagePrimary;ImageAdditional;ProductLink;GrossWeight;NetWeight;RelatedProducts;AccessoryProducts;Description_1031_German;CategoryName_1031_German;CategoryPath_1031_German;WarrantyDescription_1031_German;Description_1033_English;CategoryName_1033_English;CategoryPath_1033_English;WarrantyDescription_1033_English;Description_1036_French;CategoryName_1036_French;CategoryPath_1036_French;WarrantyDescription_1036_French;Description_1043_Dutch;CategoryName_1043_Dutch;CategoryPath_1043_Dutch;WarrantyDescription_1043_Dutch;ProductDisplayType;LicenseTypeCode;LicenseTypeDescription
6463025;SP-NAC-1444017;;Securepoint;416;416;0;0;555;666;20;FR;EUR;0;;0;G24;0;0;0;0;;;;0;;;;Ver. Securepoint NAC Maint. 30 User 1 Jahr;Netzwerk;Garantieverlängerung|Netzwerk;Bring-In-Service 24 Mon.;Ver. Securepoint NAC Maint. 30 User 1 Jahr;Networking;Warranty extension|Networking;24 Months Warranty (Bring-in);Ver. Securepoint NAC Maint. 30 User 1 Jahr;Réseau;Extension de garantie|Réseau;24 mois garantie retour atelier;Ver. Securepoint NAC Maint. 30 User 1 Jahr;Netwerk;Garantie uitbreiding|Netwerk;24 Maanden garantie (bring in);RegularProduct;SECLIZ;Securepoint Lizenz mit Endkundendaten
2590200;NVLINKX16-3SLOT-PB;3536403367664;PNY Technologies;99;99;0;0;132;158,4;20;FR;EUR;0;;0;G36;0;0;0;0;;;;0,48;;;;PNY Zubehör: Quadro NVLink 3-Slot für RTX6000/8000;Speicheradapter;Adapter|Speicheradapter;Bring-In-Service 36 Mon.;PNY Zubehör: Quadro NVLink 3-Slot für RTX6000/8000;Storage Adapters;Adapters|Storage Adapters;36 Months Warranty (Bring-in);PNY Zubehör: Quadro NVLink 3-Slot für RTX6000/8000;Adaptateur(s) de stockage;Adaptateurs|Adaptateur(s) de stockage;36 mois garantie retour atelier;PNY Zubehör: Quadro NVLink 3-Slot für RTX6000/8000;Geheugenadapter;Adapter|Geheugenadapter;36 Maanden garantie (bring in);RegularProduct;;
7001106;8BDBB60B-1J;;Microsoft;541,51;541,51;0;0;650,4;780,48;20;FR;EUR;100;;0;;0;0;0;0;;;;0;;;;TERRA CLOUD CSP M365 EE E5 [J];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;TERRA CLOUD CSP M365 EE E5 [J];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;TERRA CLOUD CSP M365 EE E5 [J];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;TERRA CLOUD CSP M365 EE E5 [J];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;Info;CSP;Microsoft Cloud Solution Provider
6482061;R18-01530;;Microsoft;1;1;0;0;1,12;1,34;20;FR;EUR;100;;0;;0;0;0;0;;;;0;;;;MS OLP Win Svr D-CAL Lic/SA Student EDU [NL];Anwendungen;Software|Anwendungen;;MS OLP Win Svr D-CAL Lic/SA Student EDU [NL];Applications;Software|Applications;;MS OLP Win Svr D-CAL Lic/SA Student EDU [NL];Applications;Logiciels|Applications;;MS OLP Win Svr D-CAL Lic/SA Student EDU [NL];toepassingen;Software|toepassingen;;RegularProduct;MSOL;Microsoft Open License
7002100;43FCE491;;Microsoft;72,86;72,86;0;0;84,3;101,16;20;FR;EUR;100;;0;;0;0;0;0;;;;0;;;;TERRA CLOUD CSP MS Strm Strg  Add-On 500 GB [M];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;TERRA CLOUD CSP MS Strm Strg  Add-On 500 GB [M];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;TERRA CLOUD CSP MS Strm Strg  Add-On 500 GB [M];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;TERRA CLOUD CSP MS Strm Strg  Add-On 500 GB [M];CLOUD_SAAS;CLOUD|CLOUD_SAAS;;Info;CSP;Microsoft Cloud Solution Provider
5310440;C9384A;0808736779623;Hewlett Packard;51;51;0;0;0;0;20;FR;EUR;1;;0;;0;0;0;0;;;;0,11;;;;Druckkopf HP Designjet T610/T770 BLACK matt+yellow;Verbrauchsmaterial;Verbrauchsmaterial;;Druckkopf HP Designjet T610/T770 BLACK matt+yellow;Consumables;Consumables;;Druckkopf HP Designjet T610/T770 BLACK matt+yellow;Consommables;Consommables;;Druckkopf HP Designjet T610/T770 BLACK matt+yellow;Verbruikersartikelen;Verbruikersartikelen;;RegularProduct;;
3810031;61440;4044144614408;Lancom;317;317;0;0;0;0;20;FR;EUR;4;;0;GH60;0;0;0;0;;;;3,3;;;;Lancom Switch GS-2310P+;Hubs & Switches;Netzwerk|Hubs & Switches;60 Monate Garantie (Service/Retoure ü. Hersteller);Lancom Switch GS-2310P+;Hubs & Switches;Networking|Hubs & Switches;;Lancom Switch GS-2310P+;Concentrateurs & Commutateurs;Réseau|Concentrateurs & Commutateurs;60 mois garantie retour constructeur;Lancom Switch GS-2310P+;Hubs & Switches;Netwerk|Hubs & Switches;;RegularProduct;;
2190153;THN-M501G0320E7;4047999410386;Toshiba;29,51;29,51;0;0;0;0;20;FR;EUR;19;;0;G60;0;0;0;0;;;;0,03;;;;Toshiba microSD-Card EXCERIA PRO UHS2  32GB Gold;Flash-Speicher;Peripherie|Flash-Speicher;Bring-In-Service 60 Mon.;Toshiba microSD-Card EXCERIA PRO UHS2  32GB Gold;Flash Memory;Peripherals|Flash Memory;60 Months Warranty (Bring-in);Toshiba microSD-Card EXCERIA PRO UHS2  32GB Gold;Mémoire Flash;Périphériques|Mémoire Flash;60 mois garantie retour atelier;Toshiba microSD-Card EXCERIA PRO UHS2  32GB Gold;Flash-geheugen;Randapparatuur|Flash-geheugen;60 Maanden garantie (bring in);RegularProduct;;
2430004;ST500LM030;7636490076527;Seagate;32,5;32,5;0;0;0;0;20;FR;EUR;42;;0;G24;0;0;0;0;;;;0,14;;;;Seagate HD2.5 SATA3 500GB ST500LM030 / 7mm (Di);Festplatten & SSD;HDD SSD DVD STR|Festplatten & SSD;Bring-In-Service 24 Mon.;Seagate HD2.5 SATA3 500GB ST500LM030 / 7mm (Di);Hard Drives;HDD SSD DVD STR|Hard Drives;24 Months Warranty (Bring-in);Seagate HD2.5 SATA3 500GB ST500LM030 / 7mm (Di);Disques durs et SSD;DD SSD DVD STR|Disques durs et SSD;24 mois garantie retour atelier;Seagate HD2.5 SATA3 500GB ST500LM030 / 7mm (Di);Harddisk & SSD;HDD SSD DVD STR|Harddisk & SSD;24 Maanden garantie (bring in);RegularProduct;;
5210440;44469724;5031713048626;OKI;126,9;126,9;0;0;0;0;20;FR;EUR;19;;0;G06;0;0;0;0;;;;0,54;;;;Toner OKI C51x/53x/MC561/562 CYAN 5.000 Blatt;Verbrauchsmaterial;Verbrauchsmaterial;6 Monate Garantie (Bring-in);Toner OKI C51x/53x/MC561/562 CYAN 5.000 Blatt;Consumables;Consumables;6 Months Warranty (Bring-in);Toner OKI C51x/53x/MC561/562 CYAN 5.000 Blatt;Consommables;Consommables;6 mois garantie retour atelier;Toner OKI C51x/53x/MC561/562 CYAN 5.000 Blatt;Verbruikersartikelen;Verbruikersartikelen;6 Maanden garantie (bring in);RegularProduct;;
